id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,city
3084395,Modern Tree Top Bungalow  - Longer Term Welcome,15694798,Josh,,28804,35.6241,-82.53003,Entire home/apt,132,1,282,4/9/2020,3.67,3,324,Asheville
3095136,Spivey Mountain Cabin w/Hot Tub!!,15694798,Josh,,28806,35.59519,-82.63967,Entire home/apt,164,1,335,11/9/2020,4.34,3,296,Asheville
3116699,Asheville Modern Round House,15694798,Josh,,28804,35.62352,-82.52959,Entire home/apt,177,1,276,9/9/2020,3.71,3,295,Asheville
3220474,Guest Room: Mountainside Private Room & Pvt. Bath,16296123,Allison & Peter,,28803,35.49069,-82.51348,Private room,43,1,612,20/9/2020,8.03,3,72,Asheville
3225871,Little forest 5 mins from airport,16293519,Ellen,,28732,35.4394,-82.50569,Entire home/apt,33,1,91,16/9/2019,1.72,1,0,Asheville
3244166,"Princess Anne, Free Breakfast & Happy Hour",16412724,Anne,,28801,35.6018,-82.54328,Hotel room,239,1,21,17/8/2020,0.59,2,78,Asheville
3268055,Cedar Springs Farm Apartment,167473,Kelly,,28806,35.58751,-82.63689,Entire home/apt,79,2,138,3/11/2019,1.81,3,0,Asheville
3314819,Basement: Mountainside Private Room & Private Bath,16296123,Allison & Peter,,28803,35.49099,-82.51287,Private room,47,1,790,12/9/2020,10.37,3,0,Asheville
3369973,Nana's Place is minutes from everything!,12087030,Marie,,28803,35.58215,-82.5475,Entire home/apt,137,2,150,21/9/2020,2.93,1,120,Asheville
3405282,The Cabin In Grove Park,17173574,Scott & Catherine,,28801,35.61206,-82.5441,Entire home/apt,75,29,9,12/8/2019,0.15,1,273,Asheville
3454237,Asheville Mtn. Retreat,6619953,Becky,,28805,35.59006,-82.50414,Entire home/apt,120,30,76,31/3/2018,1,1,297,Asheville
3522134,West Asheville 3 BR/2BA with great outdoor space,17736312,Melissa & Ron,,28806,35.58501,-82.60828,Entire home/apt,65,30,94,18/9/2018,1.25,1,104,Asheville
3529241,"Walk to Downtown, Mid-Century Modern",17767321,JC & Jackson,,28801,35.60233,-82.56226,Entire home/apt,146,3,254,24/9/2020,3.42,1,0,Asheville
3563156,"Sweet Room and Porch ,Own Entrance And Bath",653292,Joann,,28806,35.57729,-82.60579,Private room,55,2,121,29/8/2020,1.62,1,351,Asheville
